acc,acc_sem,cost,cost_sem,epoch,flop,flop_sem,time,time_sem,train_loss,train_loss_sem,val_loss,val_loss_sem
69.45,0.46,73.842,0.37,27,30575850.64,151699.42,0.0025,0.0,6.6584,0.0,3.1561,0.03
71.64,0.45,76.7044,0.35,29,31761060.6704,146025.85,0.0025,0.0,6.6532,0.0,3.1123,0.03
71.86,0.45,76.7067,0.35,28,31762035.3328,145759.53,0.0025,0.0,6.657,0.0,3.1355,0.03
70.47,0.46,75.3945,0.36,30,31218676.0272,148243.87,0.0025,0.0,6.6571,0.0,3.1606,0.03
71.64,0.45,76.7044,0.35,29,31761060.6704,146025.85,0.0025,0.0,6.6532,0.0,3.1123,0.03
68.38,0.47,72.4722,0.37,31,30008621.2352,151506.72,0.0024,0.0,6.6516,0.0,3.2688,0.03
70.47,0.46,75.3945,0.36,30,31218676.0272,148243.87,0.0025,0.0,6.6571,0.0,3.1606,0.03
69.99,0.46,73.9978,0.37,32,30640340.6304,151543.98,0.0025,0.0,6.6525,0.0,3.1146,0.03
68.38,0.47,72.4722,0.37,31,30008621.2352,151506.72,0.0025,0.0,6.6516,0.0,3.2688,0.03
70.71,0.46,75.3751,0.36,33,31210651.9872,149349.99,0.0025,0.0,6.6534,0.0,3.0706,0.03
69.99,0.46,73.9978,0.37,32,30640340.6304,151543.98,0.0025,0.0,6.6525,0.0,3.1146,0.03
70.27,0.46,74.7502,0.36,34,30951875.328,148551.91,0.0025,0.0,6.6544,0.0,3.2221,0.03
70.71,0.46,75.3751,0.36,33,31210651.9872,149349.99,0.0025,0.0,6.6534,0.0,3.0706,0.03
69.61,0.46,73.522,0.37,35,30443351.0736,151411.88,0.0024,0.0,6.6499,0.0,3.131,0.03
70.27,0.46,74.7502,0.36,34,30951875.328,148551.91,0.0025,0.0,6.6544,0.0,3.2221,0.03
70.05,0.46,74.6923,0.36,36,30927916.04,150111.26,0.0025,0.0,6.65,0.0,3.1808,0.03
69.61,0.46,73.522,0.37,35,30443351.0736,151411.88,0.0024,0.0,6.6499,0.0,3.131,0.03
70.57,0.46,74.6586,0.36,37,30913952.6832,150474.05,0.0025,0.0,6.6501,0.0,3.0798,0.03
70.05,0.46,74.6923,0.36,36,30927916.04,150111.26,0.0025,0.0,6.65,0.0,3.1808,0.03
