acc,acc_sem,cost,cost_sem,epoch,flop,flop_sem,time,time_sem,train_loss,train_loss_sem,val_loss,val_loss_sem
95.1675,0.13,99.9096,0.02,1,41369663.1647,7201.89,0.003,0.0,9.633,0.0,2.9705,0.01
95.2097,0.13,99.9766,0.01,2,41397397.1168,3668.43,0.0031,0.0,9.6067,0.0,2.9689,0.01
95.2405,0.13,99.9933,0.0,3,41404330.6048,1961.05,0.003,0.0,9.5982,0.0,2.9649,0.01
95.1598,0.13,99.9297,0.02,4,41377983.3503,6352.21,0.003,0.0,9.5931,0.0,2.9708,0.01
95.252,0.13,99.9933,0.0,5,41404330.6048,1961.05,0.003,0.0,9.587,0.0,2.9676,0.01
95.1444,0.13,99.8292,0.02,6,41336382.4222,9893.49,0.0031,0.0,9.5844,0.0,2.9713,0.01
95.1252,0.13,99.8259,0.02,7,41334995.7246,9989.82,0.003,0.0,9.581,0.0,2.9719,0.01
95.1329,0.13,99.9565,0.01,8,41389076.9312,4998.66,0.003,0.0,9.5789,0.0,2.9665,0.01
94.96,0.14,99.6417,0.03,9,41258727.3565,14314.88,0.003,0.0,9.5758,0.0,2.9664,0.01
94.9908,0.14,99.6651,0.03,10,41268434.2397,13840.58,0.003,0.0,9.5752,0.0,2.9717,0.01
94.4952,0.14,98.9283,0.06,11,40963360.7671,24653.54,0.003,0.0,9.5746,0.0,2.9684,0.01
92.1328,0.17,95.4488,0.12,12,39522581.9576,49768.79,0.0029,0.0,9.5717,0.0,2.9544,0.01
95.033,0.13,99.7622,0.03,13,41308648.4702,11668.8,0.003,0.0,9.5697,0.0,2.9733,0.01
88.0186,0.2,90.1876,0.17,14,37344080.0234,70712.3,0.0028,0.0,9.5674,0.0,2.9457,0.01
95.0446,0.13,99.6182,0.04,15,41249020.4733,14773.71,0.003,0.0,9.5671,0.0,2.9651,0.01
89.5091,0.19,92.2271,0.15,16,38188578.8636,63760.08,0.0028,0.0,9.5677,0.0,2.9475,0.01
94.1303,0.15,98.2753,0.08,17,40692954.7345,31156.94,0.0029,0.0,9.5646,0.0,2.9641,0.01
91.5297,0.17,94.9029,0.13,18,39296550.2483,52494.68,0.0029,0.0,9.5634,0.0,2.9504,0.01
81.6879,0.24,82.9037,0.21,19,34328012.7369,88835.73,0.0026,0.0,9.5611,0.0,2.9498,0.01
93.0393,0.16,96.7515,0.1,20,40062007.3251,42376.99,0.0029,0.0,9.5608,0.0,2.9587,0.01
93.5618,0.15,97.5653,0.09,21,40398974.8427,36864.36,0.0029,0.0,9.5622,0.0,2.9556,0.01
91.2608,0.18,94.7757,0.13,22,39243855.7394,53104.75,0.0029,0.0,9.5617,0.0,2.9539,0.01
92.9471,0.16,96.7649,0.1,23,40067554.1156,42292.9,0.003,0.0,9.5607,0.0,2.9519,0.01
72.4109,0.28,71.1858,0.25,24,29475957.8242,105247.14,0.0023,0.0,9.5587,0.0,2.9562,0.01
90.1083,0.19,92.8601,0.15,25,38450664.7105,61352.02,0.0029,0.0,9.5589,0.0,2.9524,0.01
95.0753,0.13,99.7823,0.03,26,41316968.6558,11166.16,0.003,0.0,9.5569,0.0,2.9638,0.01
87.3463,0.21,89.7121,0.17,27,37147168.9637,72182.66,0.0027,0.0,9.5562,0.0,2.9491,0.01
85.5947,0.22,86.8454,0.19,28,35960155.8156,80086.17,0.0026,0.0,9.5568,0.0,2.9356,0.01
84.0466,0.23,85.2044,0.2,29,35280673.9902,83987.91,0.0026,0.0,9.5538,0.0,2.9387,0.01
93.5925,0.15,97.6725,0.09,30,40443349.1659,36066.69,0.003,0.0,9.5538,0.0,2.9575,0.01
92.3171,0.17,96.3765,0.11,31,39906697.1936,44656.56,0.0029,0.0,9.555,0.0,2.9611,0.01
94.0612,0.15,98.3959,0.07,32,40742875.8482,30069.42,0.0029,0.0,9.5563,0.0,2.9696,0.01
90.8152,0.18,94.0355,0.14,33,38937395.5691,56485.0,0.0028,0.0,9.5556,0.0,2.9535,0.01
90.2581,0.18,93.4361,0.14,34,38689176.6982,59036.48,0.0028,0.0,9.5537,0.0,2.9529,0.01
91.8254,0.17,95.3818,0.12,35,39494848.0055,50113.34,0.0029,0.0,9.5538,0.0,2.9504,0.01
