acc,acc_sem,cost,cost_sem,epoch,flop,flop_sem,time,time_sem,train_loss,train_loss_sem,val_loss,val_loss_sem
83.81,0.37,100.0,0.0,1,41407104.0,0.0,0.0042,0.0,6.5122,0.0,2.6762,0.03
83.46,0.37,99.1544,0.09,2,41056948.4336,35381.83,0.0043,0.0,6.4548,0.0,2.6594,0.03
83.55,0.37,97.4021,0.15,3,40331368.3424,61383.24,0.0042,0.0,6.445,0.0,2.5773,0.03
82.59,0.38,96.5826,0.17,4,39992042.3296,70060.07,0.0042,0.0,6.433,0.0,2.6292,0.03
82.38,0.38,95.6585,0.19,5,39609398.1024,78529.57,0.0041,0.0,6.4245,0.0,2.5848,0.03
81.0,0.39,94.1938,0.22,6,39002943.1008,90008.19,0.0041,0.0,6.418,0.0,2.5665,0.03
81.66,0.39,94.8797,0.2,7,39286919.9424,84836.41,0.004,0.0,6.4146,0.0,2.6089,0.03
82.38,0.38,95.4679,0.19,8,39530479.9904,79708.75,0.0041,0.0,6.4106,0.0,2.5621,0.03
81.92,0.38,94.6345,0.21,9,39185413.1936,85543.37,0.004,0.0,6.4027,0.0,2.6133,0.03
82.0,0.38,96.5013,0.17,10,39958403.04,69348.76,0.0041,0.0,6.4078,0.0,2.6581,0.03
82.43,0.38,96.3962,0.17,11,39914863.7264,69823.12,0.0042,0.0,6.4011,0.0,2.6387,0.03
81.3,0.39,94.4755,0.2,12,39119568.4,84524.72,0.0041,0.0,6.3979,0.0,2.6668,0.03
81.05,0.39,94.3239,0.21,13,39056784.0688,85049.82,0.0041,0.0,6.3954,0.0,2.7125,0.03
81.05,0.39,94.5697,0.2,14,39158579.616,83197.53,0.0041,0.0,6.4029,0.0,2.7164,0.03
80.4,0.4,93.446,0.21,15,38693276.592,88664.53,0.0041,0.0,6.3966,0.0,2.8039,0.03
79.65,0.4,91.7636,0.24,16,37996665.576,97918.22,0.004,0.0,6.395,0.0,2.8345,0.03
79.52,0.4,92.4761,0.23,17,38291687.4288,93855.54,0.004,0.0,6.3944,0.0,2.9123,0.03
80.43,0.4,93.4663,0.21,18,38701697.6976,88561.25,0.004,0.0,6.3922,0.0,2.8289,0.03
80.0,0.4,92.4314,0.23,19,38273162.1248,94037.59,0.0041,0.0,6.3948,0.0,2.8619,0.03
79.12,0.41,90.7258,0.25,20,37566922.9584,102693.81,0.0041,0.0,6.3918,0.0,2.902,0.03
80.24,0.4,92.8248,0.22,21,38436064.552,91887.58,0.0041,0.0,6.3905,0.0,2.8506,0.03
79.3,0.41,91.4905,0.24,22,37883586.9936,98981.02,0.004,0.0,6.3925,0.0,2.8819,0.03
78.47,0.41,89.7623,0.26,23,37167963.3424,107082.08,0.0039,0.0,6.3894,0.0,2.9301,0.03
78.65,0.41,89.9721,0.26,24,37254826.512,106215.03,0.0039,0.0,6.3891,0.0,2.9091,0.03
79.08,0.41,90.8722,0.25,25,37627553.7904,102137.66,0.004,0.0,6.3906,0.0,2.9276,0.03
80.03,0.4,92.4587,0.23,26,38284467.7264,93970.33,0.004,0.0,6.3887,0.0,2.821,0.03
76.91,0.42,87.8149,0.28,27,36361617.3632,115105.0,0.0038,0.0,6.3893,0.0,3.0436,0.03
78.42,0.41,90.0081,0.26,28,37269747.6064,106012.39,0.0039,0.0,6.3888,0.0,2.9944,0.03
79.04,0.41,91.2837,0.24,29,37797925.2272,99985.85,0.0039,0.0,6.3848,0.0,2.9681,0.03
77.91,0.41,89.782,0.26,30,37176140.7824,107068.05,0.0039,0.0,6.3879,0.0,3.0147,0.03
76.13,0.43,86.6288,0.29,31,35870495.992,119439.78,0.0037,0.0,6.3852,0.0,3.088,0.03
77.55,0.42,88.5779,0.27,32,36677556.0432,112215.08,0.0038,0.0,6.3852,0.0,3.0067,0.03
78.46,0.41,90.2388,0.25,33,37365269.9056,105098.76,0.0039,0.0,6.386,0.0,2.964,0.03
77.05,0.42,88.3158,0.27,34,36569033.7664,113244.94,0.0038,0.0,6.3874,0.0,3.0803,0.04
77.74,0.42,89.0457,0.27,35,36871247.1136,110558.29,0.0038,0.0,6.3836,0.0,3.012,0.03
76.57,0.42,87.9004,0.28,36,36396990.52,114763.21,0.0038,0.0,6.384,0.0,3.095,0.04
77.48,0.42,88.8104,0.27,37,36773798.056,111435.06,0.0039,0.0,6.3839,0.0,3.022,0.03
77.11,0.42,88.3123,0.27,38,36567583.056,113381.54,0.0039,0.0,6.3822,0.0,3.0513,0.03
75.1,0.43,85.9663,0.29,39,35596175.5088,121786.2,0.0038,0.0,6.3849,0.0,3.1718,0.04
78.35,0.41,89.6849,0.26,40,37135933.8048,107906.69,0.0039,0.0,6.3862,0.0,2.99,0.03
77.06,0.42,87.8456,0.28,41,36374334.184,115621.24,0.0038,0.0,6.3805,0.0,3.0493,0.03
76.56,0.42,87.769,0.28,42,36342604.728,115332.53,0.0039,0.0,6.3808,0.0,3.0988,0.04
76.95,0.42,87.7922,0.28,43,36352215.9536,115485.49,0.0038,0.0,6.3819,0.0,3.0204,0.03
77.6,0.42,88.6616,0.27,44,36712203.8448,111923.73,0.0039,0.0,6.384,0.0,3.0179,0.03
74.91,0.43,85.6764,0.3,45,35476103.9648,122717.4,0.0038,0.0,6.3824,0.0,3.1872,0.04
75.6,0.43,86.4714,0.29,46,35805286.288,119981.2,0.0038,0.0,6.384,0.0,3.1583,0.04
76.27,0.43,87.06,0.29,47,36049033.5856,118046.1,0.0038,0.0,6.385,0.0,3.1254,0.04
76.56,0.42,87.7521,0.28,48,36335623.0496,115456.78,0.0038,0.0,6.3826,0.0,3.087,0.04
76.12,0.43,86.6195,0.29,49,35866642.4752,119530.58,0.0037,0.0,6.3812,0.0,3.1008,0.03
76.26,0.43,86.9159,0.29,50,35989366.1328,118423.84,0.0038,0.0,6.3814,0.0,3.0863,0.03
