acc,acc_sem,cost,cost_sem,epoch,flop,flop_sem,time,time_sem,train_loss,train_loss_sem,val_loss,val_loss_sem
83.81,0.37,100.0,0.0,1,41407104.0,0.0,0.0031,0.0,7.1803,0.0,2.8762,0.03
80.08,0.4,92.9733,0.24,2,38497563.9328,98272.22,0.0028,0.0,7.1231,0.0,2.7886,0.03
79.65,0.4,91.5087,0.26,3,37891108.9312,107038.04,0.0028,0.0,7.0994,0.0,2.722,0.03
78.99,0.41,90.3492,0.27,4,37410998.7216,113268.45,0.0028,0.0,7.077,0.0,2.772,0.03
79.19,0.41,90.6718,0.27,5,37544563.216,111590.86,0.0028,0.0,7.0603,0.0,2.7419,0.03
76.91,0.42,87.3236,0.31,6,36158153.6144,127063.53,0.0027,0.0,7.0474,0.0,2.7301,0.03
77.26,0.42,87.5933,0.3,7,36269860.4688,125341.37,0.0027,0.0,7.038,0.0,2.7776,0.03
77.27,0.42,86.2801,0.31,8,35726070.248,129444.62,0.0027,0.0,7.03,0.0,2.7229,0.03
76.71,0.42,85.0953,0.32,9,35235503.9072,132200.89,0.0027,0.0,7.0175,0.0,2.7852,0.03
76.81,0.42,85.9266,0.31,10,35579720.1568,128018.14,0.0027,0.0,7.0186,0.0,2.817,0.03
75.85,0.43,83.4696,0.33,11,34562336.64,135574.24,0.0026,0.0,7.0097,0.0,2.8033,0.03
74.37,0.44,80.6095,0.34,12,33378043.7792,141894.07,0.0025,0.0,7.0023,0.0,2.8255,0.03
74.24,0.44,80.516,0.34,13,33339343.928,141525.08,0.0025,0.0,6.9977,0.0,2.8578,0.03
73.26,0.44,79.161,0.35,14,32778263.656,143803.28,0.0025,0.0,7.0026,0.0,2.8874,0.03
74.2,0.44,80.7738,0.34,15,33446086.128,139057.44,0.0025,0.0,6.995,0.0,2.9316,0.03
73.6,0.44,79.5524,0.34,16,32940332.4608,141143.85,0.0025,0.0,6.9909,0.0,2.9606,0.03
71.38,0.45,76.6709,0.36,17,31747188.656,148272.61,0.0024,0.0,6.9869,0.0,3.0148,0.03
72.26,0.45,78.1367,0.35,18,32354147.9136,144435.57,0.0024,0.0,6.9845,0.0,2.9897,0.03
72.4,0.45,78.0259,0.35,19,32308273.4928,143514.67,0.0025,0.0,6.9848,0.0,3.0334,0.03
72.01,0.45,76.9168,0.35,20,31849011.3344,144326.63,0.0025,0.0,6.9803,0.0,3.0939,0.03
70.93,0.45,76.0815,0.35,21,31503151.4832,146918.67,0.0024,0.0,6.9786,0.0,3.0722,0.03
70.14,0.46,74.1278,0.37,22,30694188.3168,152347.89,0.0024,0.0,6.9775,0.0,3.0209,0.03
70.11,0.46,74.177,0.36,23,30714565.9616,150192.23,0.0024,0.0,6.975,0.0,3.1105,0.03
69.35,0.46,72.9747,0.37,24,30216729.144,151688.38,0.0023,0.0,6.9727,0.0,3.0975,0.03
68.19,0.47,71.5226,0.37,25,29615447.536,153104.41,0.0023,0.0,6.9723,0.0,3.1755,0.03
67.75,0.47,71.1421,0.38,26,29457889.904,155619.41,0.0023,0.0,6.9716,0.0,3.0663,0.03
67.27,0.47,70.1531,0.38,27,29048378.2496,155875.53,0.0022,0.0,6.9707,0.0,3.203,0.03
69.4,0.46,73.0133,0.36,28,30232692.6,150652.45,0.0023,0.0,6.9684,0.0,3.2196,0.03
68.73,0.46,72.417,0.37,29,29985783.2912,151837.63,0.0024,0.0,6.9648,0.0,3.1963,0.03
67.75,0.47,71.1686,0.37,30,29468860.4976,153757.0,0.0023,0.0,6.9683,0.0,3.2342,0.03
65.4,0.48,68.4495,0.37,31,28342942.344,153672.09,0.0022,0.0,6.9628,0.0,3.394,0.03
67.23,0.47,69.8346,0.38,32,28916502.4896,156319.96,0.0023,0.0,6.9628,0.0,3.202,0.03
67.41,0.47,70.7013,0.37,33,29275351.0352,154813.84,0.0023,0.0,6.9638,0.0,3.1863,0.03
67.2,0.47,70.4477,0.37,34,29170352.9088,153194.78,0.0023,0.0,6.9653,0.0,3.3175,0.03
65.95,0.47,68.4694,0.38,35,28351199.8432,155735.95,0.0023,0.0,6.9608,0.0,3.2708,0.03
67.49,0.47,70.9969,0.37,36,29397757.6864,154990.84,0.0023,0.0,6.9612,0.0,3.2702,0.03
68.12,0.47,70.7825,0.37,37,29309001.608,155065.61,0.0023,0.0,6.9606,0.0,3.1794,0.03
67.24,0.47,70.1578,0.38,38,29050293.7248,155992.69,0.0023,0.0,6.9583,0.0,3.2221,0.03
64.84,0.48,67.4931,0.38,39,27946919.0752,156364.95,0.0022,0.0,6.9594,0.0,3.3973,0.03
67.77,0.47,70.8858,0.37,40,29351741.1488,153346.92,0.0023,0.0,6.9605,0.0,3.2506,0.03
66.71,0.47,68.9778,0.38,41,28561704.9168,155678.03,0.0023,0.0,6.9557,0.0,3.2651,0.03
66.28,0.47,69.4145,0.37,42,28742537.0496,153861.47,0.0023,0.0,6.957,0.0,3.3522,0.03
65.51,0.48,68.0088,0.37,43,28160466.6096,154960.66,0.0022,0.0,6.9571,0.0,3.3392,0.03
66.9,0.47,70.0244,0.37,44,28995074.3104,154657.61,0.0023,0.0,6.9578,0.0,3.2877,0.03
65.55,0.48,68.3746,0.38,45,28311944.9616,155738.08,0.0022,0.0,6.9563,0.0,3.372,0.03
64.9,0.48,67.8519,0.37,46,28095489.288,154961.54,0.0022,0.0,6.9576,0.0,3.4407,0.03
64.2,0.48,66.6311,0.38,47,27589997.288,157776.95,0.0021,0.0,6.9572,0.0,3.3666,0.03
65.03,0.48,67.7778,0.38,48,28064825.8368,156287.3,0.0022,0.0,6.9579,0.0,3.3561,0.03
64.48,0.48,66.7645,0.38,49,27645249.4752,156020.55,0.0021,0.0,6.9534,0.0,3.4253,0.03
66.27,0.47,68.626,0.38,50,28416030.4832,156779.83,0.0022,0.0,6.9554,0.0,3.3032,0.03
