acc,acc_sem,cost,cost_sem,epoch,flop,flop_sem,time,time_sem,train_loss,train_loss_sem,val_loss,val_loss_sem
83.71,0.37,99.8779,0.03,1,41356566.0832,13498.04,0.0031,0.0,7.5026,0.0,2.9734,0.03
76.88,0.42,88.7887,0.29,2,36764835.3568,120848.23,0.0028,0.0,7.4395,0.0,2.8509,0.03
77.55,0.42,88.161,0.3,3,36504926.0704,123671.05,0.0028,0.0,7.4112,0.0,2.7926,0.03
77.13,0.42,87.3503,0.31,4,36169209.9088,127145.91,0.0027,0.0,7.3866,0.0,2.8481,0.03
77.07,0.42,87.5217,0.31,5,36240211.1712,126321.84,0.0027,0.0,7.3683,0.0,2.8209,0.03
74.2,0.44,83.3407,0.34,6,34508967.1552,141326.89,0.0027,0.0,7.3543,0.0,2.8172,0.03
74.43,0.44,83.3357,0.34,7,34506881.3552,140365.39,0.0026,0.0,7.3441,0.0,2.8622,0.03
74.31,0.44,81.6964,0.35,8,33828132.3456,143772.23,0.0027,0.0,7.3358,0.0,2.8029,0.03
72.95,0.44,79.7397,0.35,9,33017903.5648,145794.25,0.0027,0.0,7.3217,0.0,2.8742,0.03
72.62,0.45,80.3263,0.35,10,33260800.3152,143301.71,0.0027,0.0,7.3191,0.0,2.9075,0.03
70.9,0.45,76.3552,0.36,11,31616469.1664,149832.74,0.0025,0.0,7.3087,0.0,2.8823,0.03
67.26,0.47,71.1104,0.37,12,29444747.8096,155054.36,0.0024,0.0,7.2989,0.0,2.9408,0.03
66.61,0.47,70.0609,0.37,13,29010204.144,153134.43,0.0024,0.0,7.2928,0.0,2.9987,0.03
65.7,0.47,68.9555,0.37,14,28552489.68,154594.69,0.0024,0.0,7.297,0.0,3.0096,0.03
65.91,0.47,69.6772,0.37,15,28851324.4816,151528.67,0.0024,0.0,7.2877,0.0,3.0712,0.03
66.92,0.47,70.1089,0.37,16,29030066.2496,151536.95,0.0024,0.0,7.284,0.0,3.0304,0.03
63.91,0.48,66.7177,0.38,17,27625851.0576,155955.84,0.0023,0.0,7.279,0.0,3.0898,0.03
63.67,0.48,66.9199,0.37,18,27709607.5552,153034.66,0.0023,0.0,7.2755,0.0,3.1279,0.03
62.44,0.48,65.19,0.36,19,26993280.0384,150993.97,0.0023,0.0,7.2766,0.0,3.1923,0.03
65.13,0.48,68.0732,0.36,20,28187144.6336,150628.37,0.0024,0.0,7.2714,0.0,3.138,0.03
61.07,0.49,63.3317,0.36,21,26223803.0592,151053.76,0.0022,0.0,7.2695,0.0,3.252,0.03
62.18,0.48,63.4625,0.38,22,26277975.5472,155953.71,0.0022,0.0,7.2686,0.0,3.1052,0.03
62.75,0.48,64.3563,0.37,23,26648083.4848,152695.53,0.0024,0.0,7.2662,0.0,3.1751,0.03
59.5,0.49,60.4303,0.36,24,25022424.3216,150269.99,0.0022,0.0,7.2628,0.0,3.2899,0.03
58.05,0.49,58.263,0.36,25,24125016.4416,151068.58,0.0021,0.0,7.2634,0.0,3.3197,0.03
58.38,0.49,59.2857,0.37,26,24548503.8128,154253.67,0.0021,0.0,7.2618,0.0,3.2171,0.03
59.34,0.49,59.7227,0.37,27,24729461.1376,154095.57,0.0021,0.0,7.2608,0.0,3.2506,0.03
61.78,0.49,62.949,0.37,28,26065366.672,152155.24,0.0022,0.0,7.2597,0.0,3.2607,0.03
60.04,0.49,61.373,0.37,29,25412793.584,152267.92,0.0022,0.0,7.255,0.0,3.2843,0.03
59.48,0.49,60.367,0.37,30,24996238.1936,152417.88,0.0021,0.0,7.2585,0.0,3.3094,0.03
56.24,0.5,56.905,0.36,31,23562705.4816,147108.15,0.002,0.0,7.253,0.0,3.4828,0.03
59.06,0.49,59.1854,0.37,32,24506953.3152,153183.91,0.002,0.0,7.2521,0.0,3.2757,0.03
57.63,0.49,58.2554,0.37,33,24121854.4304,151355.6,0.002,0.0,7.2535,0.0,3.3363,0.03
58.83,0.49,59.6879,0.37,34,24715031.9392,151346.45,0.002,0.0,7.255,0.0,3.3638,0.03
56.54,0.5,57.1449,0.36,35,23662031.6,150709.4,0.002,0.0,7.2508,0.0,3.4106,0.03
61.74,0.49,62.7072,0.37,36,25965227.0864,155070.87,0.0022,0.0,7.2525,0.0,3.236,0.03
59.09,0.49,59.6094,0.37,37,24682537.6368,151462.14,0.0021,0.0,7.2511,0.0,3.335,0.03
60.04,0.49,60.4706,0.37,38,25039132.2112,154400.73,0.0021,0.0,7.2474,0.0,3.2652,0.03
58.4,0.49,58.522,0.37,39,24232275.2576,151525.22,0.0021,0.0,7.2492,0.0,3.394,0.03
59.02,0.49,60.043,0.37,40,24862049.8928,151509.91,0.002,0.0,7.2504,0.0,3.3276,0.03
57.95,0.49,57.8388,0.36,41,23949352.0608,150818.84,0.0021,0.0,7.2462,0.0,3.3825,0.03
57.48,0.49,58.0967,0.36,42,24056167.6016,148381.88,0.002,0.0,7.2471,0.0,3.4679,0.03
57.24,0.49,57.7136,0.36,43,23897515.7568,149138.61,0.002,0.0,7.2473,0.0,3.4409,0.03
59.37,0.49,60.0704,0.37,44,24873396.0624,153639.93,0.002,0.0,7.2478,0.0,3.2925,0.03
58.41,0.49,58.8295,0.37,45,24359589.0704,151318.84,0.0021,0.0,7.2461,0.0,3.39,0.03
57.01,0.5,57.4508,0.36,46,23788732.8896,149159.93,0.002,0.0,7.2467,0.0,3.4831,0.03
56.75,0.5,56.944,0.37,47,23578880.9072,151919.28,0.002,0.0,7.2468,0.0,3.3736,0.03
56.17,0.5,56.4953,0.36,48,23393060.4768,149621.63,0.002,0.0,7.2475,0.0,3.4375,0.03
56.75,0.5,56.4961,0.36,49,23393394.408,148503.47,0.0021,0.0,7.2436,0.0,3.5111,0.03
58.94,0.49,58.8403,0.37,50,24364083.3184,152247.51,0.0023,0.0,7.2449,0.0,3.3714,0.03
