acc,acc_sem,cost,cost_sem,epoch,flop,flop_sem,time,time_sem,train_loss,train_loss_sem,val_loss,val_loss_sem
46.81,0.5,100.0,0.0,1,41407104.0,0.0,0.0033,0.0,2.0963,0.0,3.0731,0.03
53.31,0.5,100.0,0.0,2,41407104.0,0.0,0.0033,0.0,1.9633,0.0,3.05,0.04
59.07,0.49,100.0,0.0,3,41407104.0,0.0,0.0033,0.0,1.8988,0.0,2.9131,0.04
61.89,0.49,100.0,0.0,4,41407104.0,0.0,0.0033,0.0,1.8617,0.0,2.879,0.04
64.08,0.48,100.0,0.0,5,41407104.0,0.0,0.0033,0.0,1.8302,0.0,2.9896,0.04
68.26,0.47,100.0,0.0,6,41407104.0,0.0,0.0033,0.0,1.803,0.0,2.4855,0.04
65.13,0.48,100.0,0.0,7,41407104.0,0.0,0.0033,0.0,1.7835,0.0,3.0408,0.05
71.56,0.45,100.0,0.0,8,41407104.0,0.0,0.0033,0.0,1.7689,0.0,2.3667,0.04
70.24,0.46,100.0,0.0,9,41407104.0,0.0,0.0033,0.0,1.7533,0.0,2.5379,0.04
72.67,0.45,100.0,0.0,10,41407104.0,0.0,0.0033,0.0,1.7426,0.0,2.3629,0.04
74.36,0.44,100.0,0.0,11,41407104.0,0.0,0.0033,0.0,1.7361,0.0,2.2367,0.04
72.9,0.44,100.0,0.0,12,41407104.0,0.0,0.0033,0.0,1.7289,0.0,2.498,0.04
74.95,0.43,100.0,0.0,13,41407104.0,0.0,0.0032,0.0,1.721,0.0,2.0925,0.04
75.74,0.43,100.0,0.0,14,41407104.0,0.0,0.0032,0.0,1.7165,0.0,2.1847,0.04
76.05,0.43,100.0,0.0,15,41407104.0,0.0,0.0033,0.0,1.7096,0.0,2.1117,0.04
77.13,0.42,100.0,0.0,16,41407104.0,0.0,0.0032,0.0,1.7056,0.0,1.986,0.04
77.08,0.42,100.0,0.0,17,41407104.0,0.0,0.0032,0.0,1.6999,0.0,2.1567,0.04
73.92,0.44,100.0,0.0,18,41407104.0,0.0,0.0032,0.0,1.6937,0.0,2.4073,0.04
76.45,0.42,100.0,0.0,19,41407104.0,0.0,0.0033,0.0,1.6927,0.0,2.1054,0.04
78.13,0.41,100.0,0.0,20,41407104.0,0.0,0.0033,0.0,1.6885,0.0,1.8605,0.03
78.5,0.41,100.0,0.0,21,41407104.0,0.0,0.0033,0.0,1.6853,0.0,1.9281,0.04
76.88,0.42,100.0,0.0,22,41407104.0,0.0,0.0034,0.0,1.6835,0.0,2.1383,0.04
74.16,0.44,100.0,0.0,23,41407104.0,0.0,0.0034,0.0,1.6805,0.0,2.3694,0.04
78.51,0.41,100.0,0.0,24,41407104.0,0.0,0.0032,0.0,1.6771,0.0,1.9779,0.04
77.85,0.42,100.0,0.0,25,41407104.0,0.0,0.0033,0.0,1.6761,0.0,2.0821,0.04
79.21,0.41,100.0,0.0,26,41407104.0,0.0,0.0032,0.0,1.6742,0.0,1.876,0.03
79.63,0.4,100.0,0.0,27,41407104.0,0.0,0.0033,0.0,1.6729,0.0,1.8173,0.03
80.45,0.4,100.0,0.0,28,41407104.0,0.0,0.0033,0.0,1.6685,0.0,1.7574,0.03
80.49,0.4,100.0,0.0,29,41407104.0,0.0,0.0033,0.0,1.6665,0.0,1.7946,0.03
79.88,0.4,100.0,0.0,30,41407104.0,0.0,0.0032,0.0,1.6676,0.0,1.8509,0.04
80.43,0.4,100.0,0.0,31,41407104.0,0.0,0.0033,0.0,1.6633,0.0,1.7565,0.03
79.35,0.4,100.0,0.0,32,41407104.0,0.0,0.0033,0.0,1.6631,0.0,1.9133,0.04
81.01,0.39,100.0,0.0,33,41407104.0,0.0,0.0032,0.0,1.6628,0.0,1.8012,0.04
79.81,0.4,100.0,0.0,34,41407104.0,0.0,0.0032,0.0,1.6608,0.0,1.8076,0.03
80.78,0.39,100.0,0.0,35,41407104.0,0.0,0.0032,0.0,1.6592,0.0,1.7505,0.03
80.32,0.4,100.0,0.0,36,41407104.0,0.0,0.0032,0.0,1.656,0.0,1.8151,0.04
79.94,0.4,100.0,0.0,37,41407104.0,0.0,0.0032,0.0,1.6569,0.0,1.7982,0.03
79.33,0.4,100.0,0.0,38,41407104.0,0.0,0.0032,0.0,1.656,0.0,1.8991,0.04
80.86,0.39,100.0,0.0,39,41407104.0,0.0,0.0033,0.0,1.6531,0.0,1.7626,0.03
80.87,0.39,100.0,0.0,40,41407104.0,0.0,0.0032,0.0,1.6525,0.0,1.71,0.03
81.29,0.39,100.0,0.0,41,41407104.0,0.0,0.0032,0.0,1.6512,0.0,1.7037,0.03
80.5,0.4,100.0,0.0,42,41407104.0,0.0,0.0032,0.0,1.6521,0.0,1.8289,0.03
81.96,0.38,100.0,0.0,43,41407104.0,0.0,0.0032,0.0,1.6518,0.0,1.6535,0.03
80.52,0.4,100.0,0.0,44,41407104.0,0.0,0.0033,0.0,1.6505,0.0,1.7946,0.03
77.5,0.42,100.0,0.0,45,41407104.0,0.0,0.0032,0.0,1.647,0.0,2.0252,0.04
82.75,0.38,100.0,0.0,46,41407104.0,0.0,0.0033,0.0,1.6481,0.0,1.6196,0.03
81.03,0.39,100.0,0.0,47,41407104.0,0.0,0.0034,0.0,1.6449,0.0,1.8532,0.04
81.11,0.39,100.0,0.0,48,41407104.0,0.0,0.0032,0.0,1.6463,0.0,1.8263,0.04
82.01,0.38,100.0,0.0,49,41407104.0,0.0,0.0032,0.0,1.6459,0.0,1.6771,0.03
83.1,0.37,100.0,0.0,50,41407104.0,0.0,0.0033,0.0,1.6435,0.0,1.6457,0.03
81.86,0.39,100.0,0.0,51,41407104.0,0.0,0.0033,0.0,1.6437,0.0,1.6738,0.03
82.27,0.38,100.0,0.0,52,41407104.0,0.0,0.0033,0.0,1.6431,0.0,1.7043,0.03
82.22,0.38,100.0,0.0,53,41407104.0,0.0,0.0033,0.0,1.6409,0.0,1.6442,0.03
78.13,0.41,100.0,0.0,54,41407104.0,0.0,0.0033,0.0,1.6423,0.0,2.1651,0.04
80.6,0.4,100.0,0.0,55,41407104.0,0.0,0.0032,0.0,1.6418,0.0,1.8201,0.04
82.29,0.38,100.0,0.0,56,41407104.0,0.0,0.0032,0.0,1.6402,0.0,1.6638,0.03
82.59,0.38,100.0,0.0,57,41407104.0,0.0,0.0033,0.0,1.6396,0.0,1.6612,0.03
80.52,0.4,100.0,0.0,58,41407104.0,0.0,0.0032,0.0,1.6391,0.0,1.8277,0.04
82.75,0.38,100.0,0.0,59,41407104.0,0.0,0.0033,0.0,1.6385,0.0,1.5657,0.03
82.68,0.38,100.0,0.0,60,41407104.0,0.0,0.0032,0.0,1.6376,0.0,1.6637,0.03
82.78,0.38,100.0,0.0,61,41407104.0,0.0,0.0032,0.0,1.6358,0.0,1.6364,0.03
83.0,0.38,100.0,0.0,62,41407104.0,0.0,0.0033,0.0,1.6398,0.0,1.6269,0.03
82.79,0.38,100.0,0.0,63,41407104.0,0.0,0.0033,0.0,1.6374,0.0,1.5948,0.03
81.53,0.39,100.0,0.0,64,41407104.0,0.0,0.0033,0.0,1.6347,0.0,1.7354,0.03
83.19,0.37,100.0,0.0,65,41407104.0,0.0,0.0032,0.0,1.6366,0.0,1.5972,0.03
82.88,0.38,100.0,0.0,66,41407104.0,0.0,0.0033,0.0,1.6352,0.0,1.6016,0.03
83.02,0.38,100.0,0.0,67,41407104.0,0.0,0.0033,0.0,1.6349,0.0,1.6724,0.03
81.84,0.39,100.0,0.0,68,41407104.0,0.0,0.0032,0.0,1.6354,0.0,1.6922,0.03
82.44,0.38,100.0,0.0,69,41407104.0,0.0,0.0033,0.0,1.6363,0.0,1.7497,0.04
82.25,0.38,100.0,0.0,70,41407104.0,0.0,0.0033,0.0,1.6315,0.0,1.6715,0.03
83.31,0.37,100.0,0.0,71,41407104.0,0.0,0.0032,0.0,1.6328,0.0,1.6495,0.03
82.7,0.38,100.0,0.0,72,41407104.0,0.0,0.0032,0.0,1.6328,0.0,1.6389,0.03
82.2,0.38,100.0,0.0,73,41407104.0,0.0,0.0032,0.0,1.6312,0.0,1.6702,0.03
82.43,0.38,100.0,0.0,74,41407104.0,0.0,0.0032,0.0,1.6303,0.0,1.6789,0.03
83.68,0.37,100.0,0.0,75,41407104.0,0.0,0.0032,0.0,1.6317,0.0,1.5155,0.03
81.65,0.39,100.0,0.0,76,41407104.0,0.0,0.0032,0.0,1.6299,0.0,1.721,0.03
83.52,0.37,100.0,0.0,77,41407104.0,0.0,0.0032,0.0,1.6302,0.0,1.5784,0.03
83.51,0.37,100.0,0.0,78,41407104.0,0.0,0.0032,0.0,1.6295,0.0,1.58,0.03
83.09,0.37,100.0,0.0,79,41407104.0,0.0,0.0032,0.0,1.6269,0.0,1.5462,0.03
82.43,0.38,100.0,0.0,80,41407104.0,0.0,0.0032,0.0,1.6288,0.0,1.6858,0.03
82.89,0.38,100.0,0.0,81,41407104.0,0.0,0.0032,0.0,1.6278,0.0,1.5809,0.03
82.91,0.38,100.0,0.0,82,41407104.0,0.0,0.0032,0.0,1.6289,0.0,1.6081,0.03
82.54,0.38,100.0,0.0,83,41407104.0,0.0,0.0032,0.0,1.6311,0.0,1.6922,0.03
82.93,0.38,100.0,0.0,84,41407104.0,0.0,0.0032,0.0,1.6271,0.0,1.606,0.03
83.33,0.37,100.0,0.0,85,41407104.0,0.0,0.0033,0.0,1.6268,0.0,1.6156,0.03
83.36,0.37,100.0,0.0,86,41407104.0,0.0,0.0033,0.0,1.6271,0.0,1.6147,0.03
84.53,0.36,100.0,0.0,87,41407104.0,0.0,0.0032,0.0,1.6251,0.0,1.4483,0.03
83.12,0.37,100.0,0.0,88,41407104.0,0.0,0.0032,0.0,1.6254,0.0,1.5657,0.03
83.9,0.37,100.0,0.0,89,41407104.0,0.0,0.0032,0.0,1.6282,0.0,1.5295,0.03
82.82,0.38,100.0,0.0,90,41407104.0,0.0,0.0032,0.0,1.6262,0.0,1.6786,0.03
82.52,0.38,100.0,0.0,91,41407104.0,0.0,0.0032,0.0,1.6249,0.0,1.6948,0.03
83.12,0.37,100.0,0.0,92,41407104.0,0.0,0.0032,0.0,1.6253,0.0,1.6244,0.03
83.55,0.37,100.0,0.0,93,41407104.0,0.0,0.0032,0.0,1.6261,0.0,1.5718,0.03
83.97,0.37,100.0,0.0,94,41407104.0,0.0,0.0032,0.0,1.6245,0.0,1.5279,0.03
81.65,0.39,100.0,0.0,95,41407104.0,0.0,0.0033,0.0,1.622,0.0,1.777,0.03
82.41,0.38,100.0,0.0,96,41407104.0,0.0,0.0033,0.0,1.6238,0.0,1.6708,0.03
82.51,0.38,100.0,0.0,97,41407104.0,0.0,0.0034,0.0,1.6235,0.0,1.6564,0.03
84.43,0.36,100.0,0.0,98,41407104.0,0.0,0.0032,0.0,1.6247,0.0,1.4717,0.03
83.74,0.37,100.0,0.0,99,41407104.0,0.0,0.0032,0.0,1.6225,0.0,1.5847,0.03
84.72,0.36,100.0,0.0,100,41407104.0,0.0,0.0033,0.0,1.6225,0.0,1.4592,0.03
