acc,acc_sem,cost,cost_sem,epoch,flop,flop_sem,time,time_sem,train_loss,train_loss_sem,val_loss,val_loss_sem
82.05,0.38,97.3585,0.15,1,40313319.0864,61880.1,0.0031,0.0,7.8166,0.0,3.029,0.03
73.71,0.44,84.2903,0.34,2,34902152.1376,138753.0,0.0027,0.0,7.748,0.0,2.9101,0.03
74.9,0.43,84.4733,0.33,3,34977959.0128,138118.69,0.0027,0.0,7.7159,0.0,2.8641,0.03
74.28,0.44,83.7794,0.34,4,34690615.9856,140470.12,0.0027,0.0,7.689,0.0,2.9183,0.03
74.31,0.44,83.314,0.34,5,34497927.7856,141061.92,0.0027,0.0,7.6689,0.0,2.8984,0.03
69.93,0.46,77.3079,0.37,6,32010982.8976,154891.73,0.0025,0.0,7.6518,0.0,2.8943,0.03
68.44,0.46,74.6993,0.38,7,30930813.9728,156378.84,0.0025,0.0,7.637,0.0,2.9536,0.03
66.72,0.47,70.7656,0.38,8,29301987.1568,158827.45,0.0024,0.0,7.6253,0.0,2.9326,0.03
64.59,0.48,68.4197,0.38,9,28330601.0992,158005.28,0.0023,0.0,7.61,0.0,3.0686,0.03
65.08,0.48,69.5651,0.38,10,28804897.184,156861.82,0.0024,0.0,7.6073,0.0,3.0425,0.03
62.65,0.48,65.2546,0.38,11,27020019.8624,158646.27,0.0023,0.0,7.5988,0.0,3.0733,0.03
58.57,0.49,60.0891,0.38,12,24881172.9488,158360.1,0.0021,0.0,7.5893,0.0,3.155,0.03
58.33,0.49,59.846,0.37,13,24780514.5936,153908.38,0.0021,0.0,7.5838,0.0,3.2725,0.03
57.96,0.49,59.2395,0.38,14,24529372.704,155613.69,0.0021,0.0,7.5884,0.0,3.2262,0.03
58.72,0.49,60.6378,0.37,15,25108342.1136,152970.75,0.0021,0.0,7.5789,0.0,3.2738,0.03
60.35,0.49,61.794,0.37,16,25587109.88,153810.07,0.0022,0.0,7.5757,0.0,3.2253,0.03
56.87,0.5,57.568,0.38,17,23837261.5776,155757.7,0.002,0.0,7.5702,0.0,3.2346,0.03
56.45,0.5,57.8814,0.37,18,23967005.328,152780.82,0.0021,0.0,7.5668,0.0,3.3139,0.03
56.47,0.5,57.5003,0.36,19,23809218.8016,149160.46,0.002,0.0,7.5681,0.0,3.402,0.03
59.85,0.49,61.0432,0.37,20,25276202.4768,151312.45,0.0021,0.0,7.5626,0.0,3.3039,0.03
54.73,0.5,55.5698,0.36,21,23009826.2928,148401.43,0.002,0.0,7.5608,0.0,3.4519,0.03
55.53,0.5,55.3298,0.37,22,22910452.6304,153549.75,0.0019,0.0,7.5598,0.0,3.2562,0.03
56.84,0.5,56.7862,0.36,23,23513517.8032,151060.8,0.002,0.0,7.5573,0.0,3.3244,0.03
53.6,0.5,53.4139,0.35,24,22117160.8912,145854.23,0.0019,0.0,7.5535,0.0,3.4659,0.03
51.74,0.5,50.5387,0.35,25,20926629.7088,144449.73,0.0019,0.0,7.5543,0.0,3.5032,0.03
52.05,0.5,51.7021,0.36,26,21408339.464,148944.79,0.0019,0.0,7.5527,0.0,3.3789,0.03
53.78,0.5,52.6605,0.36,27,21805190.7136,149144.17,0.0019,0.0,7.5515,0.0,3.3902,0.03
56.57,0.5,55.9477,0.36,28,23166342.64,150027.36,0.002,0.0,7.5503,0.0,3.3995,0.03
54.26,0.5,53.9684,0.36,29,22346758.6592,148712.43,0.0019,0.0,7.5453,0.0,3.4143,0.03
54.12,0.5,53.543,0.36,30,22170595.664,148493.86,0.0019,0.0,7.5489,0.0,3.4311,0.03
50.85,0.5,50.5343,0.34,31,20924780.856,140456.83,0.0018,0.0,7.5433,0.0,3.6561,0.03
53.47,0.5,52.348,0.36,32,21675779.8176,148299.72,0.0019,0.0,7.5421,0.0,3.4175,0.03
51.86,0.5,51.3488,0.35,33,21262034.5056,145701.58,0.0019,0.0,7.5436,0.0,3.4912,0.03
53.2,0.5,52.6871,0.35,34,21816217.7232,146920.83,0.0019,0.0,7.5449,0.0,3.5008,0.03
50.91,0.5,50.2254,0.35,35,20796873.5984,144628.06,0.0018,0.0,7.5405,0.0,3.5588,0.03
